timestamp,city,ip,fqdn,site,upload,download
2018-02-07T10:01:07Z,Chicago_IL,4.71.251.147,ndt.iupui.mlab1.ord01.measurement-lab.org,ord01,4.33,91.74
2018-02-07T11:00:33Z,Chicago_IL,66.198.24.75,ndt.iupui.mlab1.ord03.measurement-lab.org,ord03,5.17,92.12
2018-02-07T11:01:12Z,Milan,77.67.115.11,ndt.iupui.mlab1.mil03.measurement-lab.org,mil03,0,0
2018-02-07T12:00:33Z,Chicago_IL,173.205.3.203,ndt.iupui.mlab1.ord04.measurement-lab.org,ord04,4.89,92.05
2018-02-07T12:01:07Z,Chicago_IL,173.205.3.203,ndt.iupui.mlab1.ord04.measurement-lab.org,ord04,4.53,92.14
2018-02-07T13:00:33Z,Chicago_IL,4.71.251.147,ndt.iupui.mlab1.ord01.measurement-lab.org,ord01,5.15,88.89
2018-02-07T13:01:11Z,Seattle_WA,173.205.3.11,ndt.iupui.mlab1.sea03.measurement-lab.org,sea03,0,0
2018-02-07T14:00:33Z,Chicago_IL,128.177.163.11,ndt.iupui.mlab1.ord05.measurement-lab.org,ord05,4.19,91.4
2018-02-07T15:00:33Z,Chicago_IL,128.177.163.11,ndt.iupui.mlab1.ord05.measurement-lab.org,ord05,4.86,86.74
2018-02-07T16:00:32Z,Chicago_IL,173.205.3.203,ndt.iupui.mlab1.ord04.measurement-lab.org,ord04,5.18,90.94
2018-02-07T16:01:06Z,Miami_FL,173.205.3.139,ndt.iupui.mlab1.mia04.measurement-lab.org,mia04,0,0
2018-02-07T17:00:33Z,Chicago_IL,173.205.3.203,ndt.iupui.mlab1.ord04.measurement-lab.org,ord04,5.79,92.03
2018-02-07T17:01:11Z,Stockholm,77.67.119.75,ndt.iupui.mlab1.arn05.measurement-lab.org,arn05,0,6.87
2018-02-07T18:00:33Z,Chicago_IL,173.205.3.203,ndt.iupui.mlab1.ord04.measurement-lab.org,ord04,5.36,91.15
2018-02-07T18:01:07Z,Nairobi,197.136.0.75,ndt.iupui.mlab1.nbo01.measurement-lab.org,nbo01,0,0
2018-02-07T19:00:33Z,Chicago_IL,128.177.163.11,ndt.iupui.mlab1.ord05.measurement-lab.org,ord05,5.15,91.92
2018-02-07T19:01:08Z,Stockholm,195.89.146.203,ndt.iupui.mlab1.arn02.measurement-lab.org,arn02,0,0
2018-02-07T20:00:33Z,Chicago_IL,128.177.163.11,ndt.iupui.mlab1.ord05.measurement-lab.org,ord05,4.71,91.72
2018-02-07T20:01:12Z,Milan,213.242.77.139,ndt.iupui.mlab1.mil04.measurement-lab.org,mil04,0,0
2018-02-07T21:00:32Z,Chicago_IL,38.65.210.203,ndt.iupui.mlab1.ord02.measurement-lab.org,ord02,4.6,91.98
2018-02-07T21:01:05Z,Sydney,203.5.76.140,ndt.iupui.mlab1.syd01.measurement-lab.org,syd01,0,0
2018-02-07T22:00:33Z,Chicago_IL,173.205.3.203,ndt.iupui.mlab1.ord04.measurement-lab.org,ord04,5.22,91.71
2018-02-07T22:01:11Z,Taipei,163.22.28.11,ndt.iupui.mlab1.tpe01.measurement-lab.org,tpe01,0,0
2018-02-07T23:00:38Z,Chicago_IL,38.65.210.203,ndt.iupui.mlab1.ord02.measurement-lab.org,ord02,4.56,91.12
2018-02-07T23:01:11Z,Prague,80.239.156.139,ndt.iupui.mlab1.prg03.measurement-lab.org,prg03,0,0
2018-02-08T00:00:33Z,Chicago_IL,128.177.163.11,ndt.iupui.mlab1.ord05.measurement-lab.org,ord05,3.43,91.3
